Region,Year,territory_code,population,log_population,area_km2,density,log_density,gdp,log_gdp,gdp_per_capita,log_gdp_per_capita,tourism_arrivals,log_tourism_arrivals,tourism_nightspent,log_tourism_nightspent,HPI_average,log_HPI_average,Observation_Disp_Income,log_Observation_Disp_Income,Observation_Average_Monthly_Exp,log_Observation_Average_Monthly_Exp,Observation_CPI_housing,log_Observation_CPI_housing,Observation_Income_Percentage,foreign_pc_avg,crime_avg,coastal_dummy,z_tourism,z_crime,AmenityIndex,Post
Abruzzo,2011,ITF1,1329220,14.100102861994,10831.4964,122.718039217554,4.80988935979862,34778.9,10.4567661600361,26164.8936970554,10.1721738560064,957033,13.7715931525992,3346473,15.0234175133594,887.552439930642,6.78846760684978,20779.2,9.94170776535583,286,5.65599181081985,NA,NA,13.6,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,0
Abruzzo,2012,ITF1,1331624,14.101909807951,10831.4964,122.939984543595,4.81169630575569,34165.9,10.4389833496163,25657.3176812674,10.1525840996296,929495,13.742396706893,3197758,14.9779604972176,890.833654770206,6.7921577150582,20004.9,9.90373252252853,274,5.61312810638807,NA,NA,12.2,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,0
Abruzzo,2013,ITF1,1332583,14.1026297220128,10831.4964,123.028522633309,4.81241621981749,33349.6,10.4148010572688,25026.2835410627,10.1276818932203,887904,13.6966189080221,2987950,14.9100980914938,882.419975509827,6.78266810538686,20121.2,9.90952926458227,259,5.55682806169954,NA,NA,12,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,0
Abruzzo,2014,ITF1,1329918,14.1006278441619,10831.4964,122.782480913718,4.81041434196655,32913.6,10.4016412251982,24748.5935223074,10.1165239390006,919549,13.7316386114381,2947385,14.8964288945172,869.660529344074,6.76810293934606,19973.4,9.90215666730113,240,5.48063892334199,NA,NA,10.9,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,0
Abruzzo,2015,ITF1,1325836,14.0975537618376,10831.4964,122.405617011515,4.80734025964223,33008.8,10.404529471566,24896.5935455064,10.1224862676927,1005595,13.8210899640899,3093723,14.9448857779883,844.546892980437,6.73880026221418,20247.5,9.91578660812314,222,5.40267738187228,NA,NA,10.2,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,0
Abruzzo,2016,ITF1,1319294,14.0926073029952,10831.4964,121.801637675843,4.80239380079988,33192.3,10.4100732002943,25159.1381450988,10.1329764552634,1054634,13.8687043452706,3245466,14.992769503357,820.375431530495,6.70976207880989,20311.9,9.91896220017429,264,5.57594910314632,99.2,4.59713801429083,12,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,0
Abruzzo,2017,ITF1,1313930,14.0885332041571,10831.4964,121.306415242865,4.79831970196178,33325.6,10.414081149386,25363.2994147329,10.1410585031931,1123044,13.9315534137188,3601086,15.0967460246008,794.77416570771,6.6780580060071,20611.8,9.93361900631546,246,5.50533153593236,101,4.61512051684126,10.8,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
Abruzzo,2018,ITF1,1306059,14.0825247639084,10831.4964,120.579738179113,4.79231126171301,33208.1,10.4105491010509,25426.1867189767,10.1435348951068,1196641,13.9950290230984,3555228,15.083929754184,787.206559263521,6.6684906781011,20846.2,9.94492695641999,240,5.48063892334199,104,4.64439089914137,10.3,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
Abruzzo,2019,ITF1,1300645,14.0783708532343,10831.4964,120.079899578788,4.78815735103894,33412.1,10.416673388808,25688.869753084,10.153813093538,1217085,14.0119692134091,3606096,15.0981363046872,776.645114942529,6.65498350850559,20868.8,9.94601049961602,264,5.57594910314632,105.4,4.65776263610726,11,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
Abruzzo,2020,ITF1,1293941,14.0732031579494,10831.4964,119.460963860912,4.78298965575405,30550.3,10.3271297845188,23610.2728022375,10.0694371845337,604332,13.3118789947785,2054383,14.5354861175214,758.366379310345,6.63116661888003,20343.4,9.92051181394191,284,5.64897423816121,102,4.62497281328427,11.2,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
